Article Name,Text
article-10901.xml,"
The vessel Low Speed Chase, a 12 metre racing sailboat with a crew of eight, was one of 49 yachts competing on Saturday in a race around South Farallon Island, part of a rugged, sparsely populated chain offshore from San Francisco.
Officials said trouble began as the vessel rounded South Farallon Island on Saturday afternoon. A large wave initially swept four crew members into the ocean and when those remaining aboard tried to turn the craft around, another wave pushed the boat onto rocks, where it foundered. Local media said the second wave tossed three more people into the water.
Air units from the coast guard and California Air National Guard lifted off after receiving an emergency transmission from a satellite beacon on the Low Speed Chase, as well as a mayday radio call from a nearby yacht, officials said.
The accident came two weeks after a monster wave smashed into an Australian yacht taking part in a round-the-world race. Four crew members were hurt in that accident, which took place 400 nautical miles off the California coast, and the coast guard had to be called in to help. No one was killed.
Shortly after Saturday's accident, helicopter crews quickly used litter baskets and motorized winches to rescue three sailors, said Levi Read, a US coast guard spokesman.
The rescuers also recovered the body of Marc Kasanin (46) of Belvedere, California, who was identified late on Sunday in a release from the San Francisco Yacht Club, where the Low Speed Chase was based.
Mr Read had earlier said the prospects for surviving frigid ocean waters or holding onto the rocky shoals and cliffs of the Farallones depended on the missing sailors' physical fitness, size and clothing.
""The people who were rescued had on cold-weather gear and inflatable life vests,"" he said.
Ed Lynch, the yacht club's director, said the three rescued sailors were ""all pretty shaken up"" and taken to San Francisco General Hospital. Two were treated and released on Saturday and one remained hospitalized yesterday with a fractured leg.
"
article-1126.xml,"A bus carrying Turkish pilgrims has come under attack in northern Syria, Turkish media and officials say.
At least two people, one of them the bus driver, were injured in the attack near the flashpoint city of Homs, reports say.
The passengers were returning from the Hajj - the annual Muslim pilgrimage to Mecca, Saudi Arabia - reports say.
Private news agency Dogan showed images of the bus with one of its side windows broken inside Turkey.
""We confirm that an attack took place in Syria,"" a foreign ministry official told AFP news agency, without giving any further information, but reiterated Turkey's warning to its citizens not to visit Syria.
Tensions have been running high between Syria and Turkey as Ankara has become increasingly vocal in its criticism of President Bashar al-Assad's crackdown on anti-government protests in his country.
Clashes again erupt in Cairo as Egypt's health ministry confirms at least 20 people have died and 1,750 have been wounded in a weekend of violence.
"
article-11554.xml,"A strong magnitude-6.7 earthquake shook central Chile late Monday, prompting authorities to order the evacuation of a stretch of coastline and causing hundreds of people in the capital to flee buildings in panic.
There were no reports of major damage, but authorities in the port city of Valparaiso said a 72-year-old man died of a heart attack during the quake. The earthquake was felt for almost a minute in Valparaiso and the capital, Santiago.
The US Geological Survey initially put the quake's magnitude at 6.5 but later raised it to 6.7. Its epicenter was 26 miles northeast of Valparaiso, and it had a depth of 23 miles. It struck just minutes before midnight local time Monday.
The Chilean navy's hydrographic and oceanographic service discounted the possibility of a tsunami, but authorities maintained an order for people to move to higher ground along a roughly 500-mile stretch of coastline running from the city of Constitucion to Tongoy, north of the capital. Thousands of people were later allowed to return home, said Deputy Interior Secretary Rodrigo Ubilla.
The quake knocked out power and telephone service in various parts of Santiago, but the National Emergency Office of the Interior Ministry said that it had received no reports of major damage or injuries so far.
There were reports of rockslides on a highway outside of Santiago, and residents of Valparaiso said the facades of some old buildings had fallen.
Public Works Minister Laurence Golbourne said that that Chile's airports and roadways appeared undamaged.
Chile is highly earthquake-prone. A magnitude-7.1 earthquake struck central Chile on March 25, the strongest and longest that many people said they had felt since a huge quake devastated that region two years ago. In 2010, the 8.8-magnitude quake caused a tsunami that obliterated much of the coastal downtown of the central Chilean city"
article-11638.xml,"
The United States said Monday it does not intend to relax the sanctions against Iran , despite the fact that the latest round of talks over Iranian nuclear works which were held in Istanbul have been considered a ""first positive step "". The United States renewed its call to Tehran, asking it to take concrete steps to address concerns surrounding its disputed nuclear program.
""As we have already said, we want to see Iran offering concrete proposals and move forward, and if realized, then we could consider gesture measures. Nevertheless, we consider the talks in Istanbul as a very first positive step, ""said the spokesman of U.S. State Department Mark Toner during a press conference.
Despite these positive beginnings, the spokesman denied that the U.S. has the intention of relaxing its sanctions against Iran . ""The sanctions remain in place for now. Nobody has mentioned cancellation of sanctions,"" he said.
The United States hopes that the talks in Istanbul will be the beginning of a ""sustainable process"", and it is already preparing for a second meeting to be held next month in Baghdad,  Iraq, said Toner.
Iran and the five members of the Security Council of the UN (United States, France, Russia, China, Great Britain) plus Germany, which form the P5 +1, completed a series of talks Saturday on Iran's nuclear program in Istanbul, Turkey. Both sides described the talks as positive and agreed to meet again in Baghdad on May 23.
Mr. Toner noted that the U.S. had made it clear that its ultimate goal was to see Iran ""take concrete steps to address unequivocally the concerns of the international community over its nuclear program.""
Referring to international sanctions against Iran, Mr. Toner said he believed that Iran had ""every reason to engage constructively in this dialogue, and come to the negotiating table with concrete proposals "".
Despite Tehran's insistence on the peaceful aspect of its nuclear program, European countries and the U.S. suspect Iran is trying to develop nuclear weapons, and threatened to use force to prevent Tehran from becoming a nuclear power.
While acknowledging that the negotiating process would take some time, Mr. Toner has stressed the urgency of solving the Iranian nuclear crisis through peaceful negotiations."
article-11816.xml,"Thousands of Palestinians marked on Tuesday the Prisoner's Day in solidarity with 1,500 Palestinian prisoners, who went on an open-ended hunger strike in Israeli jails, until the Israeli prison services meet the demands of improving their living conditions.
Palestinian President Mahmoud Abbas addressed a written letter to mark the day, calling for implementing the Fourth Geneva Convention related to protecting civilians in times of war in the Palestinian territories, treating the Palestinian prisoners as prisoners of war and enabling them to gain their basic rights.
The cabinet of the caretaker Palestinian government in the West Bank, which held its weekly meeting in Ramallah, called on the United Nations for immediate and serious intervention and pressure on Israel to release all the Palestinian prisoners in Israeli jails.
Hundreds of Palestinians rallied or joined demonstrations held in several West Bank and Gaza Strip cities. They marked the Palestinian Prisoner's Day, the day when the first Palestinian prisoner was freed in a first ever prisoners' swap deal reached between Palestinians militants and Israel in 1974.
Among the demonstrators, there was a group of children, who wore the uniform of the prisoners in Israeli jails while their hands and legs were tied by chains of iron. A former Jordanian prisoner who was released in a Hamas-Israel prisoners swap deal on Oct. 18 also attended the demonstration.
The crowd waved Palestinian flags as well as flags of various Palestinian Islamic and national factions, carried pictures of the old prisoners and chanted slogans against Israel's policy against the prisoners. Civil Palestinian servants also went on a strike for several hours.
Abdel Rahim Mallouh, a member of Palestine Liberation Organization (PLO), told a rally in Ramallah that the prisoners "" are the address of the first central issue the Palestinian people stand around,"" calling for the immediate reconciliation and ending the division.
Qadoura Fares of the Palestinian Prisoner's Club said that about 1,500 detainees started the strike Tuesday. He noted that the strikers represent all factions in all Israeli detention facilities and prisons. He added that more prisoners will join the strike if their demands were not met.
Meanwhile, the cities of Nablus, Hebron and Jenin in the West Bank had witnessed similar demonstrations in solidarity with the Palestinian prisoners. Speakers in the rallies agreed to keep supporting the prisoners' issue and said that Israel must respond to their demands of improving their living conditions and free them.
The rally in Hebron was distinctive with a significant participation of leaders from both Fatah Party and Islamic Hamas movement amid calls for keeping the unity of the prisoners' movement in Israeli jails, as not all the 4,700 prisoners went on the hunger strike.
The prisoners were all supposed to join the hunger strike, but deep disputes between the two rival groups had led to a division among the prisoners. Most of the prisoners were waiting for the results of the negotiations with the Israeli prisons' services.
The hunger striking prisoners are demanding the Israeli authorities to stop the administrative detention (a detention with no trial), end the policy of isolating prisoners in solitary sells, allowing prisoners families from Gaza to visit their sons in Israeli jails and improving their living conditions.
Clashes broke out near the Israeli jail of Ofer near Ramallah between Palestinian demonstrators and Israeli soldiers. The soldiers dispersed the demonstrators with tear gas and rubber bullets after they threw stones at the them. Several Palestinians were injured, according to medics.
Ahmed Bahar, Deputy Speaker of the Hamas-dominated parliament, called for a third popular uprising, or Intifada in the Palestinian territories and various Arab countries in support for the prisoners, adding ""armed resistance is the only method to free prisoners.""
Speakers of various factions, mainly rival Fatah and Hamas also spoke to demonstrators in Gaza, who called for a broader Arab and international move to protect the prisoners and release them from the Israeli jails."
article-12028.xml,"A mother was shot to death and her newborn son snatched from her outside a suburban Texas pediatric center, but the 3-day-old boy was found safe about six hours later.
Kala Marie Golden's mother said her daughter ""died trying to save her baby.""
Golden was leaving a checkup with her son, Keegan, at the Northwoods Pediatric Center in Spring, a suburb north of Houston. In the parking lot, she got into a verbal altercation with a woman in a Lexus parked next to her pickup truck, Montgomery County sheriff's Lt. Dan Norris said.
Witnesses said the woman repeatedly shot Golden, took the infant and sped away, hitting the dying mother as she screamed, ""My baby!"" and tried to reach into the Lexus, Norris said.
Witnesses also reported hearing as many as seven gunshots and said a man also wa in the sky blue or light green Lexus, which was blood-stained on the driver's side, Norris said.
The boy was found safe around 8 p.m. Tuesday, after his mother, District Attorney Brett Ligon said. Ligon said the child was ""healthy"" and that a person of interest had been detained, although no charges had bee filed. He would not provide any details about the person.
Golden's mother, Linda Golden, told the AP later Tuesday that she had been baby-sitting one of her daughter's other sons when she was alerted to the incident by someone at the scene who called her using her daughter's cellphone. She rushed to the clini but was unable to see her daughter because paramedics were trying to save her.
""I wanted to kiss her before they put her in the ambulance,"" Linda Golden said.
Ligon wouldn't say where the infant was found, but he said it wasn't at a nearby apartment complex where officers wielding guns and riot shieldssearched earlier Tuesday evening.
Investigators were processing evidence Tuesday night at one apartment in the complex that was searched, and they took away a vehicle that was parked in front. Photographs taken by news media at the scene show the vehicle was a light-colored Lexus.
Joshua Jesson said he wa in the clinic with his girlfriend when he heard gunshots. He said he saw a Lexus next to the pickup truck, then later looked back and saw the car was gone and a woman lying in the spot where the Lexus had been parked.
""I thought she just passed out. Then somebody ran in here and said, 'Somebody got shot,""' e said.
Police quickly surrounded the clinic and much of the parking lot with crime-scene tape, and yellow markers were placed next to a purse and pair of brown sandals near a red pickup truck. Spent ammunition also was nearby.
Authorities late Tuesday were doing background checks on family members with te hope of returning Keegan to them on Wednesday.
Linda Golden described her daughter as sweet-natured and kind.
She said she had no idea what could have sparked the slaying and abduction.
"
article-12070.xml,"U.S. Secret Service agents and military personnel took as many as 21 women back to their hotel in Colombia in an incident last week involving alleged misconduct with prostitutes, a Republican senator said yesterday.
“There are 11 agents involved. Twenty or 21 women foreign nationals were brought to the hotel, but allegedly Marines were involved with the rest,” Senator Susan Collins of Maine - who was briefed by the director of the Secret Service, Mark Sullivan - said in an email to Reuters.
“Director Sullivan is rightly appalled by the agents actions and is pursuing a vigorous internal investigation,” said Collins, the senior Republican on the Senate Homeland Security Committee. “He ordered all the agents to return to Washington immediately, and all have been interviewed.”
More details about the incident that marred President Barack Obama’s weekend trip to the Summit of the Americas in Categena, Colombia emerged yesterday.
A Marine Corps spokesman said two Marine dog handlers assigned to support the Secret Service are being investigated to determine whether they were involved in soliciting prostitutes.
The spokesman, Captain Kevin Schultz, said the Marines were on the advance team and were not in direct contact with Obama.
The Secret Service has revoked the top security clearances of its 11 agents and placed them on administrative leave due to the incident.
The agents brought the prostitutes to their beachfront hotel in Cartagena, before Obama arrived for the summit, according to a local police source. A U.S. official told Reuters that more than 10 military service members also may have been involved.
"
article-12556.xml,"The United States has swiftly condemned photos of soldiers posing with the mangled corpses of insurgents in Afghanistan, seeking to limit the fallout from the latest scandal involving US troops.
The photographs, which date back to 2010 but were published by the Los Angeles Times on Wednesday, add to a string of damaging incidents that have ignited anti-Western feeling and complicated NATO efforts to withdraw most troops in 2014.
US Defence Secretary Leon Panetta said those responsible would be punished but voiced ""regret"" that the LA Times had decided to publish the images against the Pentagon's wishes, warning that they could prompt a violent backlash, reports AFP.
""I know that war is ugly and it's violent and I know that young people sometimes caught up in the moment make some very foolish decisions,"" Panetta told a NATO press conference in Brussels.
""I'm not excusing that behaviour, but neither do I want these images to bring further injury to our people and to our relationship with the Afghan people.""
The LA Times published two of 18 photographs it was given by a soldier who believed they pointed to a breakdown in leadership and discipline that compromised the safety of the troops.
One showed a soldier with a dead insurgent's hand draped on his right shoulder. The other showed soldiers grinning and giving a thumbs-up behind the disembodied legs of a Taliban fighter.
The Times said another set of photos, which it has not yet published, show soldiers from the same division holding a dead man's severed hand with the middle finger raised.
The first incident took place in February 2010, when paratroopers from the 82nd Airborne Division's 4th Brigade Combat Team were sent to an Afghan police station in Zabul province to inspect the remains of an alleged suicide bomber.
The soldiers had orders to try to get fingerprints and possibly scan the irises of the corpse, but instead they posed for pictures next to the Afghan police, holding up or squatting beside the remains, the LA Times reported.
A few months later, the same platoon went to inspect the remains of three insurgents whom Afghan police said had blown themselves up by accident.
The soldiers allegedly involved in the incident served in a unit plagued by leadership problems, according to media reports.
The commander of the brigade was cited for allowing a poor command climate, and a battalion leader and senior enlisted officer were relieved of their posts after showing racist and sexist slides in PowerPoint briefings, the Army Times reported.
The wife of the brigade commander also was reportedly banned from participating in family morale events at the unit's base in Fort Bragg, North Carolina after an investigation found she was harassing other spouses.
Senior US officials insisted the incident did not signal any wider discipline problem, and NATO chief Anders Fogh Rasmussen said the photos did not represent the values of the alliance's mission.
""These events took place apparently a couple of years ago and I consider them an isolated event,"" he said.
White House spokesman Jay Carney said the photos were ""reprehensible"" but also said President Barack Obama's administration was ""very disappointed"" that the paper had published them.
The newspaper's editor, Davan Maharaj, said he had decided to publish a ""small but representative selection"" of the images because of their news value and to ""fulfill our obligation to readers to report vigorously and impartially on all aspects of the American mission in Afghanistan.""
"
article-12820.xml,"
In Baghdad, three car bombs, two roadside bombs and one suicide car bomb hit mainly Shi'ite areas, killing 15 people and wounding 61, the sources said.
Two car bombs and three roadside bombs aimed at police and army patrols in the northern oil city of Kirkuk killed eight people and wounded 26, police and hospital sources said.
""I was trying to stop traffic to let a police patrol pass ...A car bomb exploded, I fell on the ground and police took me to the hospital,"" a policeman wounded in the face and chest told Reuters as doctors tended him. He declined to be named.
It was Iraq's bloodiest day since Al Qaeda's affiliate in the country, the Islamic State of Iraq group, killed at least 52 people with a series of 30 blasts on March 20.
No group has yet claimed responsibility for Thursday's attacks.
Colonel Dhiya al-Wakeel, a spokesman for the Baghdad operations command, said the attacks were an attempt to convince the Iraqi people that the country was still insecure.
""Our forces are capable of confronting such challenges and this will not affect the improvement in the security situation or our security plans,"" Wakeel told the State-owned, Iraqiya TV.
Heightened tension between Shi'ites, Sunnis and Kurds in the coalition government since U.S. troops withdrew in December has raised fears of a return to sectarian violence of the kind that pushed Iraq to the brink of civil war a few years ago.
The country is less violent than at the height of that conflict in 2006-07, but bombings and killings still happen daily, often aimed at Shi'ite areas and local security forces.
Kirkuk, home to Arabs, Kurds, Turkmen and others, is at the heart of a long-running dispute between the central government and the autonomous Kurdish region, which claims the city and the region's rich oil reserves.
Some critics say the government of Prime Minister Nuri al-Maliki is not doing enough to stem the threat from militants.
""They are saying they are changing security plans, they are redeploying troops but it is like they are changing the decorations only,"" Ali Al-Haidari, an Iraqi security expert, told Reuters.
""Is there any new technology, any new laws supporting the security process? The answer is no. The natural result for that is there are gaps here and there.""
The biggest attack in Baghdad was in the Kadhimiya district, where a car bomb killed five and wounded 24, sources said.
A car bomb targeting the health minister's motorcade went off in the central Haifa district, killing two civilians and wounding at least four of the minister's guards, a police source said. His spokesman said five guards were wounded in the attack.
Car and roadside bombs also went off in Baghdad's Amil, Palestine Street and Zaafaraniya districts.
A political crisis erupted in Iraq in December when the Shi'ite-led government tried to remove Sunni Deputy Prime Minister Saleh al-Mutlaq and sought an arrest warrant for Sunni Vice President Tareq al-Hashemi on charges he ran death squads.
Critics of Maliki viewed the moves as an attempt by the Shi'ite premier to consolidate power, and many Sunnis fear he is trying to sideline them from government. Maliki has said the charges against Hashemi were brought by the judicial system.
Parliament speaker Osama al-Nujaifi said security force leaders should take responsibility for not stopping the explosions. ""Some (groups) are seeking to exploit the domestic crisis to target unity and try to sow sectarian and racist strife,"" he said in a statement.
Elsewhere in northern Iraq, two car bombs targeting government-backed Sunni Sahwa militia went off in Samarra, two blasts hit Baquba, a roadside bomb exploded in Mosul and another roadside device exploded in Taji.
One policeman was killed in the town of Hadid, 10 km (6 miles) west of Baquba, when gunmen opened fire on the station where he worked from a passing car, police sources said.
In the mainly Sunni Muslim province of Anbar in the west, two car bombs targeting police killed four and wounded 10 in Ramadi while a roadside bomb wounded four people in Falluja."
article-12944.xml,"The coincident index was up 0.2 percent last month, after an unrevised gain of 0.2 percent in February, suggesting that current conditions continue to improve. The lagging index increased 0.3 percent, after a revised 0.1 percent advance first reported as 0.2 percent.
Earlier Thursday, the U.S. Labor Department reported more Americans than expected filed for unemployment benefit in the week ended April 14, which also happens to coincide with the April payroll employment survey week, echoing the International Monetary Fund's view that job creation this year and next will be modest at best.
Applications for unemployment insurance payments decreased by 2,000 from the previous week's upwardly revised figure of 388,000, to 386,000, according to data from the Labor Department issued Thursday in Washington. However, the level of claims was above market expectations for a 370,000 reading.
The four-week moving average, which normally provides a better indication of the underlying trend in labor markets, was 374,750, an increase of 5,500 from the previous week's upwardly revised average of 369,250 for first-time benefit applicants.
The number of people filing for benefits after an initial week of aid increased by 26,000, to 3.30 million in the week ended April 7. The continuing claims figure doesn't include the number of Americans receiving extended benefits under federal programs.
The four-week moving average for the week ended April 7 fell 21,500 to 3.32 million from the preceding week's revised average of 3.34 million.
"
